"日期","收盘","开盘","高","低","涨跌幅"
"2011年5月12日","0.9624","0.9607","0.9696","0.9598","0.10%"
"2011年5月11日","0.9614","0.9574","0.9640","0.9511","0.46%"
"2011年5月10日","0.9570","0.9639","0.9656","0.9563","-0.53%"
"2011年5月9日","0.9621","0.9658","0.9698","0.9602","-0.36%"
"2011年5月6日","0.9656","0.9667","0.9704","0.9571","-0.16%"
"2011年5月5日","0.9671","0.9585","0.9711","0.9565","0.90%"
"2011年5月4日","0.9585","0.9526","0.9605","0.9501","0.61%"
"2011年5月3日","0.9527","0.9510","0.9543","0.9456","0.24%"
"2011年5月2日","0.9504","0.9457","0.9520","0.9445","0.61%"
"2011年4月29日","0.9446","0.9507","0.9549","0.9437","-0.66%"
"2011年4月28日","0.9509","0.9502","0.9522","0.9464","0.07%"
"2011年4月27日","0.9502","0.9510","0.9577","0.9486","-0.15%"
"2011年4月26日","0.9516","0.9542","0.9562","0.9493","-0.29%"
"2011年4月25日","0.9544","0.9524","0.9560","0.9500","-0.04%"
"2011年4月22日","0.9548","0.9528","0.9550","0.9521","0.19%"
"2011年4月21日","0.9530","0.9530","0.9539","0.9453","0.04%"
"2011年4月20日","0.9526","0.9561","0.9564","0.9494","-0.36%"
"2011年4月19日","0.9560","0.9646","0.9668","0.9546","-0.88%"
"2011年4月18日","0.9645","0.9592","0.9724","0.9589","0.48%"
"2011年4月15日","0.9599","0.9609","0.9652","0.9591","-0.08%"
"2011年4月14日","0.9607","0.9626","0.9671","0.9593","-0.18%"
"2011年4月13日","0.9624","0.9628","0.9656","0.9584","-0.03%"
"2011年4月12日","0.9627","0.9564","0.9658","0.9555","0.68%"
"2011年4月11日","0.9562","0.9556","0.9580","0.9543","0.05%"
"2011年4月8日","0.9557","0.9587","0.9596","0.9524","-0.30%"
"2011年4月7日","0.9586","0.9605","0.9626","0.9568","-0.19%"
"2011年4月6日","0.9604","0.9641","0.9643","0.9568","-0.35%"
"2011年4月5日","0.9638","0.9668","0.9693","0.9625","-0.32%"
"2011年4月4日","0.9669","0.9645","0.9687","0.9614","0.34%"
